NLS Key,Transfer Action,Hindi,Hindi - Engg,English,English - Engg,,,Tamil,Tamil - Engg,Telugu,Telugu - Engg
FALLBACK_OOD,,"मुझे खेद है की मैं इसका सही उत्तर नहीं दे पाऊँगी। आपकी मदद करने के लिए, हमारे expert जल्द ही आपसे संपर्क करेंगे।",,"Unfortunately, I cannot answer this. To help you, our expert will get in touch with you soon.",,,,,,,
FALLBACK_OOS,,"मुझे खेद है की मैं इसका सही उत्तर नहीं दे पाऊँगी। आपकी मदद करने के लिए, हमारे expert जल्द ही आपसे संपर्क करेंगे।",,"Unfortunately, I cannot answer this. To help you, our expert will get in touch with you soon.",,,,,,,
FALLBACK_REPEAT,,"मुझे खेद है की मैं इसका सही उत्तर नहीं दे पाऊँगी। आपकी मदद करने के लिए, हमारे expert जल्द ही आपसे संपर्क करेंगे।",,"Unfortunately, I cannot answer this. To help you, our expert will get in touch with you soon.",,,,,,,
FALLBACK_SILENCE,,"मुझे खेद है की मैं इसका सही उत्तर नहीं दे पाऊँगी। आपकी मदद करने के लिए, हमारे expert जल्द ही आपसे संपर्क करेंगे।",,"Unfortunately, I cannot answer this. To help you, our expert will get in touch with you soon.",,,,,,,
DTMF_WAIT_GLOBAL_1,,"ज़रूर, मैं कॉल hold पर रखती हूँ। Resume करने के लिए  कृपया अपने keypad पर hash दबाएं।",,"Sure, I'll hold. Please press hash when you are ready to resume.",,,,,,,
DTMF_WAIT_INCORRECT_INPUT_GLOBAL_1,,आपके द्वारा दिया गया input valid नहीं है। Resume करने के लिए  कृपया अपने keypad पर hash दबाएं।,,"The input given by you is not valid. To resume, please press hash on your keypad.",,,,,,,
FALLBACK_ABNORMAL_BEHAVIOR,,"मुझे खेद है की मैं इसका सही उत्तर नहीं दे पाऊँगी। आपकी मदद करने के लिए, हमारे expert जल्द ही आपसे संपर्क करेंगे।",,"Unfortunately, I cannot answer this. To help you, our expert will get in touch with you soon.",,,,,,,
HANGUP_DO_NOT_CALL_1,,जी ठीक है। आपके समय के लिए धन्यवाद। आपका दिन शुभ हो!,,"Okay, I understand. Thank you for your time. Have a good day!",,,,,,,
COF_1,,नमस्ते! मैं iffco tokio से ईशाबात कर रही हूँ। यह call {{.policy_number}} से समाप्त होने वाली आपकी Health Insurance Policy के बारे में है। क्या हम अभी बात कर सकते है?,,Hi! I am ईशा. I wanted to speak to you about your Health Insurance policy ending with {{.policy_number}}. Can we talk for 2 minutes now?,,COF_1;Hi! I am ईशा. I wanted to speak to you about your Health Insurance policy ending with {{.policy_number}}. Can we talk for 2 minutes now?,COF_1;नमस्ते! मैं iffco tokio से ईशाबात कर रही हूँ। यह call {{.policy_number}} से समाप्त होने वाली आपकी Health Insurance Policy के बारे में है। क्या हम अभी बात कर सकते है?,,,,
COF_GREETING_1,,"नमस्कार, मैं आपकी health Insurance Policy {{.policy_number}} के बारे में call  कर रही हूँ। क्या मैं आपका दो मिनट समय ले सकती हूँ ?",,"Hello, This call is regarding your Health Insurance policy ending with {{.policy_number}}. Can we talk for 2 minutes now?",,,,,,,
COF_REPEAT_1,,मैं आपकी health Insurance Policy {{.policy_number}} के बारे में call  कर रही हूँ। क्या मैं आपका दो मिनट समय ले सकती हूँ ?,,I wanted to speak to you about your Health Insurance policy ending with {{.policy_number}}. Can we speak for 2 minutes now?,,,,,,,
COF_REPEAT_2,,मैं आपकी health Insurance Policy के renewal के संबंध में call कर रही हूँ। क्या मैं आपसे दो मिनट बात कर सकती हूँ?,,I am calling regarding your iffco tokio policy renewal. Can we speak for 2 minutes now?,,,,,,,
COF_SILENCE_1,,यह call आपकी health Insurance Policy के renewal के बारे में है। क्या यह बात करने का उचित समय है?,,This call is regarding your iffco tokio policy renewal. Is it a good time to talk now?,,,,,,,
COF_SILENCE_2,,क्या हम 2 मिनट बात कर सकते हैं?,,Can we speak for 2 minutes now?,,,,,,,
COF_OOS_1,,"मुझे खेद है की मैं इसका सही उत्तर नहीं दे पाऊँगी। आपकी मदद करने के लिए, हमारे expert जल्द ही आपसे संपर्क करेंगे।",,"Unfortunately, I cannot answer this. To help you, our expert will get in touch with you soon.",,,,,,,
COF_OOD_1,,कृपया क्या आप फिर से बता सकते हैं?,,Can you please repeat that?,,,,,,,
INTRODUCTION_1,,आपकी health Insurance Policy renewal के लिए {{.policy_amount}} रुपए का payment {{.due_dat}} को due है। क्या मैं जान सकती हूँ की आप कब तक यह payment कर सकेंगे?,,Your health insurance policy renewal is due on {{.due_dat}} and the amount to be paid is {{.policy_amount}} rupees. May I know by when you will be able to make the payment?,,,,,,,
